Unnamed: 0,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,HouseAge,HouseModelAge,TotalSF,TotalArea,TotalBath,TotalPorchSF
10,20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,134,GasA,Ex,Y,SBrkr,0,3,1,TA,5,Typ,0,,Detchd,Unf,1,384,TA,TA,Y,0,0,,0,2,WD,Normal,129500,43,43,1946,2080,2.0,0
11,60,RL,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,177,GasA,Ex,Y,SBrkr,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,736,TA,TA,Y,147,0,,0,7,New,Partial,345000,1,0,3322,3499,4.0,21
12,20,RL,0.0,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,175,GasA,TA,Y,SBrkr,0,2,1,TA,4,Typ,0,,Detchd,Unf,1,352,TA,TA,Y,140,0,,0,9,WD,Normal,144000,46,46,1649,1824,2.0,176
13,20,RL,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,TA,TA,Y,160,0,,0,8,New,Partial,279500,1,0,1494,2988,2.0,33
14,20,RL,0.0,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,520,GasA,TA,Y,SBrkr,0,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,352,TA,TA,Y,0,0,,0,5,WD,Normal,157000,48,48,1986,2506,2.5,389
15,45,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,GasA,Ex,Y,FuseA,0,2,1,TA,5,Typ,0,,Detchd,Unf,2,576,TA,TA,Y,48,0,,0,7,WD,Normal,132000,78,6,854,1686,1.0,112
16,20,RL,0.0,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,426,GasA,Ex,Y,SBrkr,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,480,TA,TA,Y,0,0,,700,3,WD,Normal,149000,40,40,1582,2008,2.0,0
17,90,RL,72.0,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,,0,GasA,TA,Y,SBrkr,0,2,2,TA,6,Typ,0,,CarPort,Unf,2,516,TA,TA,Y,0,0,,500,10,WD,Normal,90000,39,39,1296,1296,2.0,0
18,20,RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,468,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,0,,Detchd,Unf,2,576,TA,TA,Y,0,0,,0,6,WD,Normal,159000,4,4,1760,2228,2.5,102
19,20,RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,525,GasA,TA,Y,SBrkr,0,3,1,TA,6,Min1,0,,Attchd,Unf,1,294,TA,TA,Y,0,0,,0,5,COD,Abnorml,139000,51,44,1843,2368,1.0,0
20,60,RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,853,TA,TA,Y,240,0,,0,11,New,Partial,325300,1,0,2376,3534,3.5,154
21,45,RM,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,GasA,Ex,Y,FuseF,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,280,TA,TA,N,0,0,,0,6,WD,Normal,139400,77,57,1108,1745,1.0,205
22,20,RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,TA,TA,Y,171,0,,0,9,WD,Normal,230000,6,6,1795,3572,2.0,159
23,120,RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,200,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,572,TA,TA,Y,100,0,,0,6,WD,Normal,129900,31,31,1900,2100,2.0,110
24,20,RL,0.0,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,204,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,270,TA,TA,Y,406,0,,0,5,WD,Normal,154000,42,9,1916,2120,2.0,90
25,20,RL,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,TA,TA,Y,0,0,,0,7,WD,Normal,256300,2,2,1600,3166,2.0,56
26,20,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,180,GasA,TA,Y,SBrkr,0,3,1,Gd,5,Typ,0,,Detchd,Unf,2,576,TA,TA,Y,222,0,,0,5,WD,Normal,134800,59,10,1620,1800,1.5,32
27,20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,486,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,TA,TA,Y,0,0,,0,5,WD,Normal,306000,3,2,2922,3408,3.0,50
28,20,RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,207,GasA,TA,Y,SBrkr,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,319,TA,TA,Y,288,0,,0,12,WD,Normal,207500,49,9,2877,3084,2.0,258
29,30,RM,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,GasA,Fa,N,SBrkr,0,1,1,Fa,4,Typ,0,,Detchd,Unf,1,240,Fa,TA,Y,49,0,,0,5,WD,Normal,68500,81,58,520,1040,1.0,87
30,70,C (all),50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,GasA,TA,N,SBrkr,0,3,1,TA,6,Typ,0,,Detchd,Unf,1,250,TA,Fa,N,0,0,,0,7,WD,Normal,40000,88,58,1317,1966,1.0,226
31,20,RL,0.0,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,GasA,Gd,Y,SBrkr,0,3,1,Gd,6,Typ,0,,Attchd,Unf,1,271,TA,TA,Y,0,0,,0,6,WD,Normal,149350,42,2,1228,2456,1.5,65
32,20,RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,,Attchd,RFn,2,484,TA,TA,Y,0,0,,0,1,WD,Normal,179900,1,1,1234,2468,2.0,30
33,20,RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,380,GasA,Gd,Y,SBrkr,0,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,447,TA,TA,Y,0,0,,0,4,WD,Normal,165500,51,51,2718,3098,2.0,38
34,120,RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,408,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,556,TA,TA,Y,203,0,,0,8,WD,Normal,277500,2,2,2714,3122,3.0,47
35,60,RL,108.0,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,691,TA,TA,Y,113,0,,0,9,WD,Normal,309000,2,1,2452,3569,3.5,32
36,20,RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,,Attchd,Unf,2,672,TA,TA,Y,392,0,,0,6,WD,Normal,145000,15,14,1097,2194,1.5,64
37,20,RL,74.0,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,84,GasA,Gd,Y,SBrkr,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,498,TA,TA,Y,0,0,,0,10,WD,Normal,153000,55,19,2510,2594,1.5,0
38,20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326,GasA,TA,Y,SBrkr,0,3,1,Gd,5,Typ,0,,Detchd,Unf,1,246,TA,TA,Y,0,0,,0,1,WD,Abnorml,109000,57,3,1788,2114,2.0,52
39,90,RL,65.0,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,,0.0,TA,TA,PConc,,,,,,0,GasA,TA,N,FuseP,0,2,2,Fa,6,Typ,0,,,,0,0,,,N,0,0,,0,6,WD,AdjLand,82000,53,53,1152,1152,2.0,0
40,20,RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,445,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,440,TA,TA,Y,0,0,,0,12,WD,Abnorml,160000,41,41,1967,2412,2.0,138
41,20,RL,115.0,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,383,GasA,Gd,Y,SBrkr,0,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,308,TA,TA,P,0,0,,0,7,WD,Normal,170000,48,48,2295,2678,2.0,104
42,85,RL,0.0,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,0,GasA,Gd,Y,SBrkr,0,2,1,Gd,5,Typ,0,,Attchd,RFn,2,504,TA,Gd,Y,240,0,,0,12,WD,Normal,144000,24,24,1724,1724,2.0,0
43,20,RL,0.0,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,167,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,0,,Detchd,Unf,1,308,TA,TA,Y,145,0,,0,7,WD,Normal,130250,33,28,1709,1876,2.0,0
44,20,RL,70.0,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,465,GasA,Ex,Y,FuseA,0,3,1,TA,6,Typ,0,,Attchd,RFn,1,300,TA,TA,Y,0,0,,0,5,WD,Normal,141000,47,47,1835,2300,2.0,0
45,120,RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1296,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,576,TA,TA,Y,196,0,,0,2,WD,Normal,319900,5,5,2208,3504,3.0,82
46,50,RL,48.0,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,83,GasA,Ex,Y,SBrkr,0,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,2,670,TA,TA,Y,168,0,,0,8,WD,Abnorml,239686,6,6,3500,3583,2.5,241
48,190,RM,33.0,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,GasA,Gd,Y,SBrkr,0,2,3,TA,8,Typ,0,,,,0,0,,,N,0,0,,0,6,New,Partial,113000,89,1,1452,2188,2.0,102
49,20,RL,66.0,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,192,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,,Attchd,Unf,1,386,TA,TA,Y,0,0,,0,1,WD,Normal,127000,41,41,1718,1910,2.0,0
50,60,RL,0.0,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,612,GasA,Gd,Y,SBrkr,0,3,1,TA,6,Typ,0,,Attchd,Fin,2,388,TA,TA,Y,0,0,,0,7,WD,Normal,177000,10,10,1652,2264,2.5,75
51,50,RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,816,GasA,TA,Y,SBrkr,360,3,1,TA,6,Typ,1,Gd,Detchd,Unf,2,528,TA,TA,Y,112,0,,400,9,WD,Normal,114500,72,56,816,1992,1.0,0
53,20,RL,68.0,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,32,GasA,Gd,Y,SBrkr,0,0,1,Gd,5,Typ,1,Gd,Attchd,Fin,3,894,TA,TA,Y,857,0,,0,11,WD,Normal,385000,25,19,3652,3684,2.5,72
54,80,RL,60.0,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,3,1,TA,6,Min1,1,TA,Detchd,Unf,2,572,TA,TA,Y,0,0,,0,2,WD,Normal,130000,52,52,1744,1744,1.0,50
55,20,RL,100.0,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,935,GasA,Gd,Y,SBrkr,0,3,1,TA,7,Typ,1,Gd,Attchd,RFn,2,576,TA,TA,Y,0,0,,0,7,WD,Normal,180500,44,44,1915,2850,2.0,407
56,160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,321,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,,Attchd,Fin,2,480,TA,TA,Y,115,0,,0,8,WD,Abnorml,172500,10,9,2388,2709,3.5,0
57,60,RL,89.0,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,860,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,,Attchd,RFn,2,565,TA,TA,Y,0,0,,0,8,WD,Normal,196500,2,2,1720,2580,2.5,70
58,60,RL,66.0,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,1410,GasA,Ex,Y,SBrkr,0,3,1,Gd,10,Typ,1,Gd,BuiltIn,Fin,3,641,TA,TA,Y,192,0,,0,10,New,Partial,438780,0,0,2945,4355,3.5,37
59,20,RL,60.0,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,148,GasA,Ex,Y,SBrkr,0,2,1,TA,4,Typ,0,,Detchd,Unf,1,352,TA,TA,Y,196,0,,0,1,WD,Normal,124900,36,36,1412,1560,1.0,0
60,20,RL,63.0,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,217,GasA,Ex,Y,SBrkr,0,3,1,Gd,5,Typ,0,,Detchd,Unf,2,576,TA,TA,Y,0,0,,0,5,New,Partial,158000,2,2,2099,2316,2.5,50
