,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,HouseAge,HouseModelAge,TotalSF,TotalArea,TotalBath,TotalPorchSF
32,33,20,RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,NA,Attchd,RFn,2,484,TA,TA,Y,0,0,NA,0,1,WD,Normal,179900,1,1,1234,2468,2.0,30
33,34,20,RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,380,GasA,Gd,Y,SBrkr,0,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,447,TA,TA,Y,0,0,NA,0,4,WD,Normal,165500,51,51,2718,3098,2.0,38
34,35,120,RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,408,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,556,TA,TA,Y,203,0,NA,0,8,WD,Normal,277500,2,2,2714,3122,3.0,47
35,36,60,RL,108.0,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,691,TA,TA,Y,113,0,NA,0,9,WD,Normal,309000,2,1,2452,3569,3.5,32
36,37,20,RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Attchd,Unf,2,672,TA,TA,Y,392,0,NA,0,6,WD,Normal,145000,15,14,1097,2194,1.5,64
37,38,20,RL,74.0,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,84,GasA,Gd,Y,SBrkr,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,498,TA,TA,Y,0,0,NA,0,10,WD,Normal,153000,55,19,2510,2594,1.5,0
38,39,20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326,GasA,TA,Y,SBrkr,0,3,1,Gd,5,Typ,0,NA,Detchd,Unf,1,246,TA,TA,Y,0,0,NA,0,1,WD,Abnorml,109000,57,3,1788,2114,2.0,52
39,40,90,RL,65.0,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,NA,NA,NA,NA,NA,0,GasA,TA,N,FuseP,0,2,2,Fa,6,Typ,0,NA,NA,None,0,0,NA,NA,N,0,0,NA,0,6,WD,AdjLand,82000,53,53,1152,1152,2.0,0
40,41,20,RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,445,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,440,TA,TA,Y,0,0,NA,0,12,WD,Abnorml,160000,41,41,1967,2412,2.0,138
41,42,20,RL,115.0,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,383,GasA,Gd,Y,SBrkr,0,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,308,TA,TA,P,0,0,NA,0,7,WD,Normal,170000,48,48,2295,2678,2.0,104
42,43,85,RL,0.0,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,0,GasA,Gd,Y,SBrkr,0,2,1,Gd,5,Typ,0,NA,Attchd,RFn,2,504,TA,Gd,Y,240,0,NA,0,12,WD,Normal,144000,24,24,1724,1724,2.0,0
43,44,20,RL,0.0,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,167,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,0,NA,Detchd,Unf,1,308,TA,TA,Y,145,0,NA,0,7,WD,Normal,130250,33,28,1709,1876,2.0,0
44,45,20,RL,70.0,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,465,GasA,Ex,Y,FuseA,0,3,1,TA,6,Typ,0,NA,Attchd,RFn,1,300,TA,TA,Y,0,0,NA,0,5,WD,Normal,141000,47,47,1835,2300,2.0,0
45,46,120,RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1296,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,576,TA,TA,Y,196,0,NA,0,2,WD,Normal,319900,5,5,2208,3504,3.0,82
46,47,50,RL,48.0,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,83,GasA,Ex,Y,SBrkr,0,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,2,670,TA,TA,Y,168,0,NA,0,8,WD,Abnorml,239686,6,6,3500,3583,2.5,241
47,48,20,FV,84.0,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1632,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,NA,Attchd,RFn,3,826,TA,TA,Y,0,0,NA,0,7,WD,Normal,249700,1,1,1680,3312,2.0,146
48,49,190,RM,33.0,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,GasA,Gd,Y,SBrkr,0,2,3,TA,8,Typ,0,NA,NA,None,0,0,NA,NA,N,0,0,NA,0,6,New,Partial,113000,89,1,1452,2188,2.0,102
49,50,20,RL,66.0,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,192,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Attchd,Unf,1,386,TA,TA,Y,0,0,NA,0,1,WD,Normal,127000,41,41,1718,1910,2.0,0
50,51,60,RL,0.0,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,612,GasA,Gd,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Attchd,Fin,2,388,TA,TA,Y,0,0,NA,0,7,WD,Normal,177000,10,10,1652,2264,2.5,75
51,52,50,RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,816,GasA,TA,Y,SBrkr,360,3,1,TA,6,Typ,1,Gd,Detchd,Unf,2,528,TA,TA,Y,112,0,NA,400,9,WD,Normal,114500,72,56,816,1992,1.0,0
52,53,90,RM,110.0,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,0,GasA,TA,N,SBrkr,0,2,1,TA,5,Typ,0,NA,CarPort,Unf,2,516,TA,TA,Y,106,0,NA,0,5,WD,Normal,110000,47,47,1632,1632,2.0,0
53,54,20,RL,68.0,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,32,GasA,Gd,Y,SBrkr,0,0,1,Gd,5,Typ,1,Gd,Attchd,Fin,3,894,TA,TA,Y,857,0,NA,0,11,WD,Normal,385000,25,19,3652,3684,2.5,72
54,55,80,RL,60.0,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,3,1,TA,6,Min1,1,TA,Detchd,Unf,2,572,TA,TA,Y,0,0,NA,0,2,WD,Normal,130000,52,52,1744,1744,1.0,50
55,56,20,RL,100.0,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,935,GasA,Gd,Y,SBrkr,0,3,1,TA,7,Typ,1,Gd,Attchd,RFn,2,576,TA,TA,Y,0,0,NA,0,7,WD,Normal,180500,44,44,1915,2850,2.0,407
56,57,160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,321,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,NA,Attchd,Fin,2,480,TA,TA,Y,115,0,NA,0,8,WD,Abnorml,172500,10,9,2388,2709,3.5,0
